Z 轴振动速度,X 轴振动速度,Z 轴加速度峰值,X 轴加速度峰值,Z 轴峰值速度分量频率 Hz,X 轴峰值速度分量频率 Hz,Z 轴加速度均方根,X 轴加速度均方根
202,273,99,48,97,97,24,30
202,273,99,48,97,97,24,30
186,359,98,66,97,97,21,29
186,359,98,66,97,97,21,29
204,369,89,49,122,97,22,28
204,369,89,49,122,97,22,28
187,337,88,59,97,122,21,27
187,337,88,59,97,122,21,27
209,351,81,63,219,97,22,31
209,351,81,63,219,97,22,31
185,333,78,64,122,97,20,29
185,333,78,64,122,97,20,29
136,417,71,59,219,97,21,27
136,417,71,59,219,97,21,27
241,361,70,59,97,122,21,29
241,361,70,59,97,122,21,29
219,341,93,72,97,97,24,30
219,341,93,72,97,97,24,30
172,409,77,45,122,122,20,28
172,409,77,45,122,122,20,28
230,369,69,59,97,97,20,28
230,369,69,59,97,97,20,28
162,372,72,62,219,122,21,30
162,372,72,62,219,122,21,30
206,376,76,64,219,97,23,31
206,376,76,64,219,97,23,31
203,405,58,51,122,97,21,28
203,405,58,51,122,97,21,28
159,306,78,61,219,97,22,30
159,306,78,61,219,97,22,30
167,387,75,64,219,122,20,30
170,383,70,50,122,122,20,29
170,383,70,50,122,122,20,29
236,362,84,54,97,122,23,29
236,362,84,54,97,122,23,29
195,357,74,76,97,97,24,33
195,357,74,76,97,97,24,33
171,377,101,70,97,97,23,29
171,377,101,70,97,97,23,29
230,332,82,57,122,122,23,31
230,332,82,57,122,122,23,31
228,441,75,61,97,97,21,29
228,441,75,61,97,97,21,29
213,393,80,57,122,97,26,30
213,393,80,57,122,97,26,30
209,365,81,48,97,122,23,31
209,365,81,48,97,122,23,31
181,351,77,59,219,97,24,29
181,351,77,59,219,97,24,29
204,347,88,66,97,122,24,32
204,347,88,66,97,122,24,32
167,355,103,63,219,97,23,30
167,355,103,63,219,97,23,30
162,355,77,49,97,97,22,29
162,355,77,49,97,97,22,29
198,361,92,64,219,122,23,32
198,361,92,64,219,122,23,32
223,339,77,67,122,97,22,31
223,339,77,67,122,97,22,31
187,398,74,55,244,122,21,30
187,398,74,55,244,122,21,30
195,359,103,46,97,97,24,30
195,359,103,46,97,97,24,30
202,438,99,57,97,97,22,30
202,438,99,57,97,97,22,30
185,414,86,56,219,97,22,30
185,414,86,56,219,97,22,30
183,433,82,66,219,97,22,31
183,433,82,66,219,97,22,31
245,379,79,55,97,122,22,29
245,379,79,55,97,122,22,29
189,343,75,71,219,122,23,30
189,343,75,71,219,122,23,30
217,370,62,48,97,97,21,29
174,356,89,53,219,97,22,28
174,356,89,53,219,97,22,28
191,433,95,47,219,97,26,34
191,433,95,47,219,97,26,34
180,366,70,50,219,97,20,29
180,366,70,50,219,97,20,29
210,346,75,50,122,97,22,31
210,346,75,50,122,97,22,31
196,361,106,62,219,122,21,29
196,361,106,62,219,122,21,29
169,349,109,59,1464,122,22,30
169,349,109,59,1464,122,22,30
181,374,74,48,219,97,24,31
181,374,74,48,219,97,24,31
238,433,120,49,122,97,24,31
238,433,120,49,122,97,24,31
243,423,73,67,122,97,24,35
243,423,73,67,122,97,24,35
192,387,67,62,97,97,22,28
192,387,67,62,97,97,22,28
158,383,82,76,122,97,22,29
