Z 轴振动速度,X 轴振动速度,Z 轴加速度峰值,X 轴加速度峰值,Z 轴峰值速度分量频率 Hz,X 轴峰值速度分量频率 Hz,Z 轴加速度均方根,X 轴加速度均方根
133,141,40,44,146,97,15,19
133,141,40,44,146,97,15,19
169,170,36,38,170,97,15,20
169,170,36,38,170,97,15,20
109,198,35,38,97,97,15,19
109,198,35,38,97,97,15,19
176,145,40,40,146,97,14,19
176,145,40,40,146,97,14,19
124,213,34,40,97,97,15,20
124,213,34,40,97,97,15,20
133,155,39,45,146,97,14,20
133,155,39,45,146,97,14,20
161,158,43,38,97,97,15,22
129,204,40,38,97,97,15,20
129,204,40,38,97,97,15,20
141,211,41,43,146,97,16,20
141,211,41,43,146,97,16,20
135,198,38,43,97,97,15,20
135,198,38,43,97,97,15,20
162,130,39,42,97,4321,16,20
162,130,39,42,97,4321,16,20
168,215,40,47,146,97,15,19
168,215,40,47,146,97,15,19
121,169,41,42,97,97,16,22
121,169,41,42,97,97,16,22
165,165,39,49,97,97,14,19
165,165,39,49,97,97,14,19
150,151,43,48,146,97,15,19
150,151,43,48,146,97,15,19
98,120,44,55,219,122,12,16
98,120,44,55,219,122,12,16
115,114,48,44,97,146,14,16
115,114,48,44,97,146,14,16
161,260,43,51,97,122,13,16
161,260,43,51,97,122,13,16
151,242,48,45,170,97,14,16
151,242,48,45,170,97,14,16
128,159,44,45,122,97,14,16
128,159,44,45,122,97,14,16
140,132,46,48,122,97,14,16
140,132,46,48,122,97,14,16
127,237,44,46,97,122,13,17
127,237,44,46,97,122,13,17
160,137,41,48,170,122,13,16
160,137,41,48,170,122,13,16
162,184,43,44,170,97,13,16
162,184,43,44,170,97,13,16
103,176,46,53,97,97,13,17
103,176,46,53,97,97,13,17
133,172,48,54,97,97,13,16
133,172,48,54,97,97,13,16
131,159,43,51,146,97,13,17
131,159,43,51,146,97,13,17
179,137,46,42,97,97,13,16
179,137,46,42,97,97,13,16
140,208,39,50,97,97,13,16
133,246,49,49,122,97,13,16
133,246,49,49,122,97,13,16
161,188,46,61,97,97,14,18
161,188,46,61,97,97,14,18
140,171,45,47,146,97,13,16
140,171,45,47,146,97,13,16
137,185,48,50,146,97,13,16
137,185,48,50,146,97,13,16
219,203,54,48,97,97,14,18
219,203,54,48,97,97,14,18
137,156,40,45,97,97,13,16
137,156,40,45,97,97,13,16
175,157,47,43,97,97,13,17
175,157,47,43,97,97,13,17
133,156,40,56,170,97,14,17
133,156,40,56,170,97,14,17
128,158,41,52,146,97,13,17
128,158,41,52,146,97,13,17
104,134,42,49,122,97,13,16
104,134,42,49,122,97,13,16
132,196,47,47,97,97,14,16
132,196,47,47,97,97,14,16
141,159,54,50,97,122,14,16
141,159,54,50,97,122,14,16
142,228,43,44,146,97,14,17
142,228,43,44,146,97,14,17
149,165,49,46,97,146,14,16
149,165,49,46,97,146,14,16
115,195,43,44,97,97,14,17
115,195,43,44,97,97,14,17
111,174,43,43,146,97,13,17
111,174,43,43,146,97,13,17
136,152,46,52,97,97,12,15
136,152,46,52,97,97,12,15
120,153,47,52,97,146,13,17
120,153,47,52,97,146,13,17
127,133,59,52,170,97,14,15
127,133,59,52,170,97,14,15
121,177,47,45,97,97,14,17
180,156,46,45,97,97,14,17
180,156,46,45,97,97,14,17
167,147,40,47,146,97,13,15
167,147,40,47,146,97,13,15
130,125,47,47,170,122,12,16
130,125,47,47,170,122,12,16
129,169,44,42,97,97,13,16
129,169,44,42,97,97,13,16
148,165,42,42,146,97,13,16
148,165,42,42,146,97,13,16
139,189,43,43,97,97,13,16
139,189,43,43,97,97,13,16
170,170,44,53,122,170,13,16
170,170,44,53,122,170,13,16
132,176,42,48,97,97,14,16
132,176,42,48,97,97,14,16
213,183,41,53,146,97,14,17
213,183,41,53,146,97,14,17
241,165,41,60,146,195,14,16
241,165,41,60,146,195,14,16
219,162,48,45,122,97,14,16
219,162,48,45,122,97,14,16
110,205,46,43,122,97,13,16
110,205,46,43,122,97,13,16
218,175,42,42,146,97,13,17
218,175,42,42,146,97,13,17
146,131,43,48,97,3710,15,18
146,131,43,48,97,3710,15,18
174,149,57,46,97,170,13,16
174,149,57,46,97,170,13,16
164,140,44,51,97,97,13,17
164,140,44,51,97,97,13,17
115,148,44,45,170,97,14,16
115,148,44,45,170,97,14,16
146,215,42,44,97,97,15,17
146,215,42,44,97,97,15,17
107,143,47,40,219,146,14,17
107,143,47,40,219,146,14,17
147,143,41,44,146,97,13,16
161,175,46,48,146,97,13,16
161,175,46,48,146,97,13,16
140,138,40,50,97,97,14,16
140,138,40,50,97,97,14,16
232,141,42,50,97,122,13,17
232,141,42,50,97,122,13,17
121,140,47,46,97,97,14,17
121,140,47,46,97,97,14,17
120,202,48,48,97,97,14,18
120,202,48,48,97,97,14,18
124,149,39,43,122,488,14,17
124,149,39,43,122,488,14,17
207,200,43,43,97,97,13,16
207,200,43,43,97,97,13,16
181,169,40,47,97,146,14,17
181,169,40,47,97,146,14,17
174,186,41,44,146,97,14,17
174,186,41,44,146,97,14,17
179,112,47,47,97,3588,14,16
179,112,47,47,97,3588,14,16
122,172,36,41,97,97,14,17
122,172,36,41,97,97,14,17
189,159,44,41,146,122,14,17
189,159,44,41,146,122,14,17
201,150,44,43,146,97,14,17
201,150,44,43,146,97,14,17
162,157,37,45,97,122,14,18
162,157,37,45,97,122,14,18
155,188,39,40,97,97,15,17
155,188,39,40,97,97,15,17
112,169,41,46,97,97,13,18
112,169,41,46,97,97,13,18
165,145,38,43,97,97,15,18
126,122,30,36,97,122,5,7
113,138,38,39,170,97,6,8
94,204,37,41,146,97,5,7
100,106,34,38,170,146,5,7
172,197,32,40,195,244,6,8
197,189,29,34,146,146,6,7
103,118,29,38,122,146,5,7
117,155,36,38,97,97,5,7
100,162,33,36,341,97,6,7
116,110,40,39,97,97,6,7
110,107,34,40,97,97,6,7
111,94,33,38,146,97,5,7
111,140,33,38,146,97,5,7
106,104,35,39,97,122,5,6
157,74,37,42,146,244,6,7
125,80,35,43,97,195,6,7
147,174,27,30,903,903,10,13
126,148,28,29,1025,1025,10,13
164,162,30,34,97,1147,10,13
172,312,25,29,122,122,10,13
121,172,30,28,1269,97,10,14
129,318,34,37,97,97,9,11
99,105,35,32,97,439,8,9
139,192,31,32,97,97,10,12
100,284,40,36,195,122,8,10
123,188,31,31,146,122,9,12
93,130,22,28,122,122,5,5
140,91,24,27,122,170,5,5
120,128,26,35,146,146,5,5
107,181,26,32,122,97,5,5
126,192,40,38,97,97,12,14
222,683,33,36,122,122,13,16
155,213,30,37,170,97,14,14
