Z 轴振动速度,X 轴振动速度,Z 轴加速度峰值,X 轴加速度峰值,Z 轴峰值速度分量频率 Hz,X 轴峰值速度分量频率 Hz,Z 轴加速度均方根,X 轴加速度均方根
337,1777,55,43,97,97,24,36
337,1777,55,43,97,97,24,36
341,1850,50,43,97,97,24,34
341,1850,50,43,97,97,24,34
391,1890,68,47,97,97,24,32
391,1890,68,47,97,97,24,32
285,1391,51,42,97,97,27,34
285,1391,51,42,97,97,27,34
285,1502,52,47,122,97,21,34
285,1502,52,47,122,97,21,34
279,1594,49,41,97,97,22,34
279,1594,49,41,97,97,22,34
254,1553,43,42,97,97,22,32
254,1553,43,42,97,97,22,32
278,1579,55,39,97,97,23,32
278,1579,55,39,97,97,23,32
337,1558,56,40,97,97,24,35
337,1558,56,40,97,97,24,35
377,1512,49,43,97,97,22,32
377,1512,49,43,97,97,22,32
187,1484,56,41,122,97,26,40
269,1542,61,45,97,97,28,41
269,1542,61,45,97,97,28,41
262,1478,57,34,97,97,22,31
262,1478,57,34,97,97,22,31
298,1460,64,47,97,97,23,32
298,1460,64,47,97,97,23,32
294,1744,51,36,122,97,20,32
294,1744,51,36,122,97,20,32
259,1610,44,39,97,97,23,34
259,1610,44,39,97,97,23,34
314,1490,57,37,97,97,23,32
314,1490,57,37,97,97,23,32
273,1550,53,35,97,97,24,35
273,1550,53,35,97,97,24,35
325,1553,48,45,97,97,25,31
325,1553,48,45,97,97,25,31
238,1390,50,36,97,97,25,35
238,1390,50,36,97,97,25,35
253,1601,63,45,122,97,22,33
253,1601,63,45,122,97,22,33
221,1555,49,44,97,97,21,32
221,1555,49,44,97,97,21,32
326,1488,43,44,97,97,24,36
326,1488,43,44,97,97,24,36
282,1494,62,41,97,97,24,34
282,1494,62,41,97,97,24,34
272,1487,54,47,97,97,25,36
272,1487,54,47,97,97,25,36
219,1549,51,40,122,97,22,32
219,1549,51,40,122,97,22,32
236,1668,57,38,97,97,23,31
236,1668,57,38,97,97,23,31
366,1686,52,43,122,97,26,37
366,1686,52,43,122,97,26,37
314,1584,59,38,97,97,20,31
314,1584,59,38,97,97,20,31
216,1335,47,40,97,97,25,32
216,1335,47,40,97,97,25,32
275,1498,56,38,97,97,23,36
275,1498,56,38,97,97,23,36
320,1456,71,47,97,97,23,37
311,1552,52,40,97,97,22,31
311,1552,52,40,97,97,22,31
297,1614,52,46,122,97,23,32
297,1614,52,46,122,97,23,32
311,1620,48,46,122,97,24,35
311,1620,48,46,122,97,24,35
262,1487,59,40,97,97,22,31
262,1487,59,40,97,97,22,31
233,1348,50,41,97,97,21,28
233,1348,50,41,97,97,21,28
234,1365,57,38,97,97,25,33
234,1365,57,38,97,97,25,33
344,1531,47,39,97,97,23,33
344,1531,47,39,97,97,23,33
248,1588,59,42,122,97,24,34
248,1588,59,42,122,97,24,34
293,1750,54,45,97,97,21,32
293,1750,54,45,97,97,21,32
248,1459,50,39,97,97,26,39
248,1459,50,39,97,97,26,39
278,1500,54,48,97,97,23,36
278,1500,54,48,97,97,23,36
260,1579,67,46,122,97,23,37
260,1579,67,46,122,97,23,37
311,1606,54,38,122,97,24,32
311,1606,54,38,122,97,24,32
254,1727,51,41,122,97,26,34
254,1727,51,41,122,97,26,34
412,1986,41,36,97,97,22,33
412,1986,41,36,97,97,22,33
277,1426,40,43,97,97,22,32
277,1426,40,43,97,97,22,32
347,1537,53,47,97,97,24,35
347,1537,53,47,97,97,24,35
256,1440,52,41,97,97,20,30
256,1440,52,41,97,97,20,30
327,1672,62,44,97,97,26,37
327,1672,62,44,97,97,26,37
320,1563,49,43,97,97,21,31
320,1563,49,43,97,97,21,31
299,1481,70,46,97,97,24,34
402,1409,56,43,97,97,26,38
402,1409,56,43,97,97,26,38
210,1514,72,41,97,97,28,40
210,1514,72,41,97,97,28,40
261,1391,47,39,97,97,22,34
261,1391,47,39,97,97,22,34
319,1749,53,38,97,97,24,35
319,1749,53,38,97,97,24,35
403,1657,64,40,97,97,22,33
403,1657,64,40,97,97,22,33
325,1548,69,42,122,97,25,35
325,1548,69,42,122,97,25,35
246,1329,60,34,122,97,22,31
246,1329,60,34,122,97,22,31
303,1818,54,40,122,97,25,36
303,1818,54,40,122,97,25,36
351,1758,63,42,122,97,26,39
351,1758,63,42,122,97,26,39
264,1595,53,41,122,97,22,35
264,1595,53,41,122,97,22,35
318,1566,47,36,97,97,25,35
318,1566,47,36,97,97,25,35
328,1595,50,45,97,97,24,33
328,1595,50,45,97,97,24,33
335,1591,48,37,97,97,20,31
335,1591,48,37,97,97,20,31
329,1570,52,44,97,97,26,35
329,1570,52,44,97,97,26,35
262,1607,47,44,122,97,23,31
262,1607,47,44,122,97,23,31
229,1616,56,34,122,97,21,32
229,1616,56,34,122,97,21,32
302,1359,51,49,97,97,26,33
302,1359,51,49,97,97,26,33
291,1457,68,43,97,97,25,35
291,1457,68,43,97,97,25,35
384,1995,49,42,97,97,27,41
384,1995,49,42,97,97,27,41
356,1727,46,43,122,97,23,33
325,1897,53,37,97,97,21,33
325,1897,53,37,97,97,21,33
437,1946,54,47,97,97,28,36
437,1946,54,47,97,97,28,36
371,2102,53,39,122,97,23,39
371,2102,53,39,122,97,23,39
406,2000,102,47,97,97,27,37
406,2000,102,47,97,97,27,37
358,2014,45,38,97,97,24,35
358,2014,45,38,97,97,24,35
415,2034,62,41,97,97,24,38
415,2034,62,41,97,97,24,38
323,1976,64,35,97,97,24,36
323,1976,64,35,97,97,24,36
351,1952,52,43,97,97,26,37
351,1952,52,43,97,97,26,37
495,2129,50,40,97,97,22,34
495,2129,50,40,97,97,22,34
430,2142,55,38,122,97,23,34
430,2142,55,38,122,97,23,34
471,2142,56,42,97,97,26,37
471,2142,56,42,97,97,26,37
474,2053,45,39,97,97,24,34
474,2053,45,39,97,97,24,34
458,2129,52,38,97,97,28,38
458,2129,52,38,97,97,28,38
462,2071,49,39,97,97,24,37
462,2071,49,39,97,97,24,37
466,2084,64,41,97,97,24,36
466,2084,64,41,97,97,24,36
478,2057,52,45,97,97,28,40
478,2057,52,45,97,97,28,40
406,2011,53,39,97,97,23,33
406,2011,53,39,97,97,23,33
489,1945,58,37,97,97,24,34
489,1945,58,37,97,97,24,34
377,2030,48,52,97,97,22,34
377,2030,48,52,97,97,22,34
379,2035,47,41,122,97,26,38
303,1882,51,35,97,97,22,31
303,1882,51,35,97,97,22,31
256,1972,48,36,97,97,24,33
256,1972,48,36,97,97,24,33
385,2032,47,35,97,97,24,38
385,2032,47,35,97,97,24,38
495,2180,80,36,97,97,23,33
495,2180,80,36,97,97,23,33
378,1868,46,41,97,97,22,30
378,1868,46,41,97,97,22,30
387,2023,52,39,122,97,26,37
387,2023,52,39,122,97,26,37
389,2055,47,39,97,97,24,36
389,2055,47,39,97,97,24,36
390,2055,57,37,97,97,24,35
390,2055,57,37,97,97,24,35
460,2015,49,40,97,97,23,35
460,2015,49,40,97,97,23,35
405,2019,49,39,97,97,25,34
