Z 轴振动速度,X 轴振动速度,Z 轴加速度峰值,X 轴加速度峰值,Z 轴峰值速度分量频率 Hz,X 轴峰值速度分量频率 Hz,Z 轴加速度均方根,X 轴加速度均方根
494,882,49,37,219,97,21,29
508,769,44,43,219,97,23,30
508,769,44,43,219,97,23,30
509,895,42,35,219,97,25,34
509,895,42,35,219,97,25,34
532,873,46,42,219,97,27,34
489,809,38,42,219,97,27,33
489,809,38,42,219,97,27,33
505,949,42,42,219,97,24,36
505,949,42,42,219,97,24,36
461,824,51,40,219,97,25,32
461,824,51,40,219,97,25,32
479,825,65,44,219,97,24,33
479,825,65,44,219,97,24,33
509,789,45,42,219,122,25,32
509,789,45,42,219,122,25,32
486,785,39,39,219,97,25,35
486,785,39,39,219,97,25,35
452,760,49,41,219,97,26,32
452,760,49,41,219,97,26,32
468,758,50,44,219,97,26,39
468,758,50,44,219,97,26,39
427,648,47,40,219,122,25,33
427,648,47,40,219,122,25,33
535,1003,37,44,97,97,26,41
535,1003,37,44,97,97,26,41
528,762,42,55,219,97,26,33
528,762,42,55,219,97,26,33
494,652,47,43,219,219,28,32
494,652,47,43,219,219,28,32
437,767,41,37,219,97,26,33
437,767,41,37,219,97,26,33
469,690,46,47,219,219,27,31
469,690,46,47,219,219,27,31
530,745,41,41,219,122,25,33
530,745,41,41,219,122,25,33
496,782,56,44,219,97,27,36
496,782,56,44,219,97,27,36
495,804,47,40,219,97,24,33
495,804,47,40,219,97,24,33
448,742,46,43,219,97,27,37
448,742,46,43,219,97,27,37
488,795,41,43,219,219,23,33
488,795,41,43,219,219,23,33
453,824,41,42,219,219,25,34
485,837,47,44,219,97,22,29
485,837,47,44,219,97,22,29
461,714,51,41,219,97,24,29
461,714,51,41,219,97,24,29
483,739,46,40,219,97,25,36
483,739,46,40,219,97,25,36
538,745,40,39,97,97,24,30
538,745,40,39,97,97,24,30
504,822,43,44,219,97,25,33
504,822,43,44,219,97,25,33
540,792,48,41,97,97,26,31
540,792,48,41,97,97,26,31
487,729,39,41,219,97,24,30
487,729,39,41,219,97,24,30
482,880,40,48,219,97,27,33
482,880,40,48,219,97,27,33
477,803,60,44,219,97,25,32
477,803,60,44,219,97,25,32
575,1023,49,42,219,97,24,33
575,1023,49,42,219,97,24,33
472,765,40,43,219,97,25,31
472,765,40,43,219,97,25,31
507,887,48,39,219,97,26,32
507,887,48,39,219,97,26,32
499,818,42,50,219,122,24,31
499,818,42,50,219,122,24,31
487,748,42,38,219,97,23,29
487,748,42,38,219,97,23,29
459,673,44,44,219,219,26,35
459,673,44,44,219,219,26,35
508,760,45,53,219,122,26,33
508,760,45,53,219,122,26,33
461,779,44,44,219,122,25,35
461,779,44,44,219,122,25,35
516,687,41,55,219,219,25,30
516,687,41,55,219,219,25,30
471,739,42,39,219,97,29,34
535,871,43,37,219,122,24,34
535,871,43,37,219,122,24,34
569,1040,39,41,122,97,28,35
569,1040,39,41,122,97,28,35
576,907,45,42,219,97,24,33
576,907,45,42,219,97,24,33
482,721,64,37,219,219,23,31
482,721,64,37,219,219,23,31
490,800,45,42,219,97,24,35
490,800,45,42,219,97,24,35
528,801,44,38,219,122,26,35
528,801,44,38,219,122,26,35
450,832,38,41,219,97,22,30
450,832,38,41,219,97,22,30
534,779,45,42,219,219,24,34
534,779,45,42,219,219,24,34
577,882,46,45,219,97,26,33
577,882,46,45,219,97,26,33
485,849,39,44,219,97,25,33
485,849,39,44,219,97,25,33
465,793,64,43,219,97,23,33
465,793,64,43,219,97,23,33
606,724,39,47,219,97,27,37
606,724,39,47,219,97,27,37
479,798,44,44,219,97,25,32
479,798,44,44,219,97,25,32
496,867,41,39,219,97,24,31
496,867,41,39,219,97,24,31
475,765,42,43,219,97,22,30
475,765,42,43,219,97,22,30
489,900,43,43,219,97,23,32
489,900,43,43,219,97,23,32
558,965,46,38,97,97,24,32
558,965,46,38,97,97,24,32
488,894,47,42,219,97,24,33
488,894,47,42,219,97,24,33
512,851,49,43,219,97,24,31
482,870,41,38,219,97,22,29
482,870,41,38,219,97,22,29
508,804,53,41,219,97,22,29
508,804,53,41,219,97,22,29
481,921,43,42,219,97,22,30
481,921,43,42,219,97,22,30
480,1046,47,40,219,97,22,33
480,1046,47,40,219,97,22,33
558,928,52,40,219,97,23,30
558,928,52,40,219,97,23,30
546,859,53,44,122,97,24,35
546,859,53,44,122,97,24,35
470,772,45,44,219,122,24,32
470,772,45,44,219,122,24,32
576,932,43,35,219,122,27,36
576,932,43,35,219,122,27,36
530,839,42,39,219,122,27,36
530,839,42,39,219,122,27,36
531,774,42,39,219,97,25,33
531,774,42,39,219,97,25,33
537,889,44,41,97,122,27,36
537,889,44,41,97,122,27,36
597,961,44,40,97,97,25,37
597,961,44,40,97,97,25,37
544,934,80,65,219,97,25,33
544,934,80,65,219,97,25,33
532,821,44,43,219,97,22,30
532,821,44,43,219,97,22,30
467,788,52,41,219,122,22,30
467,788,52,41,219,122,22,30
511,806,49,36,219,97,25,36
511,806,49,36,219,97,25,36
534,794,41,40,219,97,25,34
534,794,41,40,219,97,25,34
538,920,49,37,97,97,23,31
538,920,49,37,97,97,23,31
451,933,42,39,219,97,24,35
451,933,42,39,219,97,24,35
465,905,43,38,219,97,21,28
589,1035,42,42,97,97,23,32
589,1035,42,42,97,97,23,32
500,793,53,39,219,97,23,29
500,793,53,39,219,97,23,29
551,1019,42,40,219,97,25,32
551,1019,42,40,219,97,25,32
571,1012,41,38,219,97,25,31
571,1012,41,38,219,97,25,31
529,928,45,44,219,97,27,28
529,928,45,44,219,97,27,28
568,961,59,46,219,97,24,29
568,961,59,46,219,97,24,29
526,901,58,49,219,97,27,31
526,901,58,49,219,97,27,31
549,805,51,52,219,97,28,33
549,805,51,52,219,97,28,33
538,803,46,41,219,122,25,32
538,803,46,41,219,122,25,32
484,822,49,41,219,97,26,32
484,822,49,41,219,97,26,32
511,796,51,44,219,219,30,36
511,796,51,44,219,219,30,36
508,681,44,38,219,219,26,32
508,681,44,38,219,219,26,32
462,714,50,44,219,219,28,33
462,714,50,44,219,219,28,33
506,852,61,43,219,97,25,32
506,852,61,43,219,97,25,32
464,801,42,48,219,97,24,31
464,801,42,48,219,97,24,31
534,815,38,37,219,97,27,33
534,815,38,37,219,97,27,33
523,944,43,40,219,97,27,35
523,944,43,40,219,97,27,35
501,778,73,42,219,219,26,34
501,778,73,42,219,219,26,34
477,736,58,56,219,219,26,35
477,736,58,56,219,219,26,35
456,693,45,36,219,219,22,29
436,892,41,37,219,97,21,30
436,892,41,37,219,97,21,30
1088,1348,66,42,146,122,16,25
