Z 轴振动速度,X 轴振动速度,Z 轴加速度峰值,X 轴加速度峰值,Z 轴峰值速度分量频率 Hz,X 轴峰值速度分量频率 Hz,Z 轴加速度均方根,X 轴加速度均方根
502,1149,976,1524,170,97,38,124
390,817,863,1452,122,122,32,88
518,1744,930,1957,146,122,38,93
311,762,1081,2209,97,146,34,80
663,2815,30,28,122,97,9,27
1555,1522,1328,2193,97,122,41,96
820,1776,942,1712,122,122,34,84
497,841,1006,1610,122,122,31,73
133,294,29,31,146,170,7,7
464,1215,1100,2027,97,97,37,97
431,1115,1067,2068,97,97,33,81
508,1179,1164,1776,122,97,32,77
126,246,27,36,341,146,6,7
874,1674,1209,2071,122,122,41,100
785,1615,1094,2020,122,122,39,99
908,1568,1126,1827,122,122,35,98
715,1449,1162,1710,122,97,37,80
118,140,32,28,122,97,6,7
1795,2150,1174,2282,97,122,44,95
1795,2150,1174,2282,97,122,44,95
736,1188,1129,1874,97,170,40,110
337,1024,1068,1728,122,122,33,99
563,1061,1217,1783,122,122,34,79
130,202,29,31,97,170,6,7
130,202,29,31,97,170,6,7
593,1833,1172,2186,97,170,38,113
576,1238,1107,1485,122,122,34,100
783,1510,1141,1944,122,122,38,97
169,153,27,33,97,219,6,7
169,153,27,33,97,219,6,7
9688,1948,1020,2007,97,195,126,224
477,878,1034,1804,122,122,36,93
112,192,32,28,97,97,6,7
134,259,31,26,97,97,6,6
637,1529,1047,1840,97,97,38,90
550,1165,1216,1845,97,97,33,95
541,1119,1212,1855,122,122,39,123
96,803,28,27,97,97,6,8
869,1616,1178,1897,97,146,46,106
643,2111,1196,1684,97,97,37,103
592,1204,1155,1575,97,97,39,96
519,883,1029,1563,122,122,37,108
132,604,30,32,122,170,6,10
597,1397,1327,2002,122,146,42,103
991,2398,975,1710,170,170,44,108
108,325,29,32,122,97,6,7
162,368,1236,1742,97,122,8,14
821,1241,1233,1876,195,195,44,97
100,322,28,33,268,97,6,7
155,467,784,1371,122,97,6,7
883,1744,1036,2303,97,122,40,98
146,164,27,35,97,97,6,8
744,1797,1082,1764,195,195,42,97
737,1306,1255,1770,122,122,39,93
630,1263,1457,2125,97,97,34,80
4567,1373,2523,2981,97,97,41,77
637,2116,1221,1880,122,170,39,99
1418,1910,1038,1896,122,122,45,97
578,1402,1068,1920,97,97,31,93
553,1236,1076,1595,122,97,33,80
126,235,30,34,97,122,6,7
11807,2791,890,1785,97,195,125,189
650,1479,1145,2017,122,195,38,96
718,1468,1205,2261,122,97,35,80
695,1387,1268,2247,122,122,37,85
142,317,30,33,97,170,6,9
12911,5928,1149,2239,97,97,147,238
749,1009,1139,2071,122,146,39,98
455,880,1124,1704,195,170,36,101
555,791,1371,2124,122,122,36,87
646,1154,1240,2093,122,122,37,90
177,238,30,31,146,170,6,8
4675,3388,1113,1767,244,170,110,239
626,1154,927,2025,195,195,40,97
809,1268,1066,1732,122,122,37,88
359,960,1031,1444,122,122,35,103
125,168,28,33,97,122,6,7
129,242,29,30,97,97,6,8
9414,3790,1080,1873,97,170,105,162
528,1341,1229,2377,97,97,35,100
741,1290,1174,1713,122,97,38,127
595,987,1281,1954,122,122,36,88
198,367,30,28,146,122,7,9
115,145,29,33,122,97,6,9
614,1902,1145,1871,170,122,46,116
636,1723,1276,2024,97,97,35,95
578,1558,1209,2190,122,122,40,106
700,1148,1236,1933,122,122,34,104
121,317,26,31,97,97,6,7
159,362,30,33,97,97,7,15
159,362,30,33,97,97,7,15
159,362,30,33,97,97,7,15
531,3292,1222,1962,146,97,42,113
632,1836,1212,1660,97,97,46,124
483,1092,1258,2164,97,97,34,94
623,1204,1125,2057,122,97,35,102
690,1682,1020,1525,97,146,41,136
1112,1247,1426,2157,97,195,48,116
566,1026,1264,1767,97,97,36,99
604,1559,1256,1692,97,97,41,115
