Z 轴振动速度,X 轴振动速度,Z 轴加速度峰值,X 轴加速度峰值,Z 轴峰值速度分量频率 Hz,X 轴峰值速度分量频率 Hz,Z 轴加速度均方根,X 轴加速度均方根
105,111,28,27,122,146,6,6
144,382,29,30,122,97,6,7
154,361,28,32,97,170,7,11
139,300,27,33,195,97,6,7
138,156,31,33,97,97,6,7
126,138,28,29,97,97,6,6
115,128,26,34,122,146,6,6
108,145,29,34,390,146,7,6
79,167,28,27,219,97,5,6
141,171,31,27,97,97,6,6
117,96,27,34,219,122,6,6
133,114,28,32,122,122,6,6
121,114,25,27,170,170,6,6
107,109,31,29,97,97,6,6
130,117,29,31,146,244,6,6
147,196,28,30,97,97,6,6
499,2486,34,59,122,122,8,22
123,372,28,32,97,170,7,8
562,2106,66,86,146,146,50,171
169,613,26,32,292,122,7,11
662,1270,1040,1450,97,97,35,83
4578,14013,827,1428,146,146,63,157
139,283,30,30,97,170,7,10
124,173,29,28,244,1074,6,10
241,847,37,40,195,195,11,25
127,434,28,31,146,170,6,8
127,434,28,31,146,170,6,8
156,188,27,30,97,97,6,7
1354,3787,152,222,268,244,59,125
630,1374,1055,1898,122,122,36,96
352,1195,29,32,170,122,8,17
150,207,28,29,97,97,6,10
171,126,26,30,97,732,6,7
149,114,26,29,97,708,6,7
123,158,33,33,97,146,6,7
123,158,33,33,97,146,6,7
108,156,28,33,97,170,6,7
108,156,28,33,97,170,6,7
125,124,31,30,146,732,6,7
82,171,29,31,122,146,6,7
128,165,30,30,97,97,6,6
144,115,30,30,146,170,6,7
190,143,27,29,122,122,6,7
125,117,29,29,97,122,5,7
143,168,32,30,97,122,6,7
115,143,36,32,97,268,6,7
101,136,27,33,97,219,6,7
188,157,30,30,97,97,6,7
119,160,28,28,97,97,6,7
125,111,27,31,97,732,6,6
116,123,28,29,97,732,6,7
153,135,29,29,146,97,6,7
95,103,28,27,244,122,6,7
155,155,28,30,97,97,6,7
137,131,27,27,97,97,6,6
105,178,28,28,97,97,6,7
140,149,34,27,122,97,6,7
105,138,26,27,97,97,6,6
100,162,27,34,97,122,6,7
127,172,28,33,97,122,6,7
142,150,25,30,195,97,6,6
123,212,27,32,122,97,6,6
118,176,30,30,97,97,6,7
107,113,32,31,195,122,6,6
122,127,28,29,97,146,6,7
140,142,28,32,97,122,6,7
121,126,28,29,122,97,6,7
121,126,28,29,122,97,6,7
132,114,28,29,122,170,6,6
139,140,25,27,97,97,6,7
103,148,33,30,170,97,6,6
145,182,27,31,97,122,6,6
115,116,34,31,97,122,6,6
122,155,25,29,146,122,6,7
122,155,25,29,146,122,6,7
119,134,28,35,97,732,6,8
103,123,26,31,170,146,6,7
83,143,32,30,122,170,5,7
133,117,29,31,97,830,6,7
187,175,29,32,97,146,6,6
108,153,28,29,97,97,6,7
93,133,29,28,97,122,6,7
101,162,26,29,122,170,6,7
146,152,27,28,97,97,6,7
105,128,29,31,97,97,6,6
109,138,29,29,146,97,6,7
116,111,31,28,97,97,6,6
139,128,29,31,97,244,6,7
111,123,32,28,292,708,6,7
135,153,29,29,170,97,6,7
127,150,27,26,97,97,6,7
129,113,29,27,97,170,6,7
171,127,30,29,97,146,7,7
75,138,26,30,195,195,6,7
153,168,29,30,97,97,6,7
114,144,32,30,146,97,6,7
96,136,28,29,97,97,6,7
124,174,30,30,97,122,6,7
84,113,31,35,122,97,6,6
117,102,28,34,170,195,6,6
