Z 轴振动速度,X 轴振动速度,Z 轴加速度峰值,X 轴加速度峰值,Z 轴峰值速度分量频率 Hz,X 轴峰值速度分量频率 Hz,Z 轴加速度均方根,X 轴加速度均方根
586,3568,1152,762,732,952,73,215
586,3568,1152,762,732,952,73,215
773,3744,109,204,97,1049,75,246
773,3744,109,204,97,1049,75,246
625,2255,1192,941,2563,97,83,111
625,2255,1192,941,2563,97,83,111
734,3614,157,348,97,1074,73,225
734,3614,157,348,97,1074,73,225
619,3033,3071,2402,97,1049,74,190
619,3033,3071,2402,97,1049,74,190
842,3746,152,244,97,1049,87,217
842,3746,152,244,97,1049,87,217
629,2618,293,301,317,97,71,138
629,2618,293,301,317,97,71,138
651,2862,194,394,97,1171,78,189
651,2862,194,394,97,1171,78,189
621,2308,120,236,512,634,67,109
621,2308,120,236,512,634,67,109
580,2171,105,192,97,1074,57,134
623,2254,202,267,317,97,67,106
623,2254,202,267,317,97,67,106
779,4529,202,299,1171,1171,94,329
779,4529,202,299,1171,1171,94,329
833,3116,435,681,830,830,79,160
833,3116,435,681,830,830,79,160
665,4141,381,589,1074,1074,83,282
665,4141,381,589,1074,1074,83,282
924,5319,868,607,317,952,85,325
924,5319,868,607,317,952,85,325
610,3160,587,979,219,1049,62,193
610,3160,587,979,219,1049,62,193
760,2812,119,241,219,952,71,150
760,2812,119,241,219,952,71,150
581,2061,421,673,97,732,76,108
581,2061,421,673,97,732,76,108
737,3696,790,928,219,1049,65,224
737,3696,790,928,219,1049,65,224
748,3211,520,677,830,830,85,159
748,3211,520,677,830,830,85,159
840,3673,119,302,317,1049,70,216
840,3673,119,302,317,1049,70,216
648,2166,485,602,292,97,66,100
648,2166,485,602,292,97,66,100
751,2884,173,262,219,219,73,151
751,2884,173,262,219,219,73,151
673,1957,271,428,317,195,86,97
673,1957,271,428,317,195,86,97
760,3572,111,232,219,1049,65,222
760,3572,111,232,219,1049,65,222
680,2334,2987,4418,97,195,76,125
680,2334,2987,4418,97,195,76,125
679,2411,121,229,219,1049,56,143
679,2411,121,229,219,1049,56,143
786,2813,1028,1354,317,97,92,151
786,2813,1028,1354,317,97,92,151
848,2967,151,228,97,97,67,120
848,2967,151,228,97,97,67,120
906,3388,3284,5646,219,97,114,208
878,4007,176,367,97,927,72,237
878,4007,176,367,97,927,72,237
682,2535,1557,1275,195,97,88,133
682,2535,1557,1275,195,97,88,133
923,3933,113,229,97,952,66,193
923,3933,113,229,97,952,66,193
1035,3213,3441,6181,195,952,84,174
1035,3213,3441,6181,195,952,84,174
779,2959,146,271,97,1049,75,161
779,2959,146,271,97,1049,75,161
656,2529,619,523,97,97,67,136
656,2529,619,523,97,97,67,136
721,2743,125,239,97,97,62,125
721,2743,125,239,97,97,62,125
766,2146,3106,2821,97,97,86,110
766,2146,3106,2821,97,97,86,110
937,4376,139,206,97,1049,73,253
937,4376,139,206,97,1049,73,253
653,3526,851,777,830,952,73,199
653,3526,851,777,830,952,73,199
889,4304,131,234,97,1049,75,267
889,4304,131,234,97,1049,75,267
679,4182,643,421,97,927,83,260
679,4182,643,421,97,927,83,260
752,4180,217,373,317,1049,87,282
752,4180,217,373,317,1049,87,282
643,2708,1702,1487,317,1025,67,155
643,2708,1702,1487,317,1025,67,155
497,3211,113,254,1049,1049,60,207
497,3211,113,254,1049,1049,60,207
735,2798,216,342,732,732,69,152
735,2798,216,342,732,732,69,152
728,2631,226,499,97,97,81,139
728,2631,226,499,97,97,81,139
502,1456,104,306,219,195,71,85
502,1456,104,306,219,195,71,85
726,4121,274,363,1147,1147,80,269
726,4121,274,363,1147,1147,80,269
879,3359,149,313,830,708,70,169
879,3359,149,313,830,708,70,169
689,3513,314,316,317,927,68,204
871,3143,271,325,317,195,76,132
