Z 轴振动速度,X 轴振动速度,Z 轴加速度峰值,X 轴加速度峰值,Z 轴峰值速度分量频率 Hz,X 轴峰值速度分量频率 Hz,Z 轴加速度均方根,X 轴加速度均方根
361,1158,72,126,122,1611,38,124
454,1434,98,93,2685,2563,63,197
454,1434,98,93,2685,2563,63,197
330,905,113,467,292,2465,31,112
330,905,113,467,292,2465,31,112
537,1230,49,113,244,2685,69,173
537,1230,49,113,244,2685,69,173
490,1157,119,206,244,2514,52,159
419,1008,50,129,244,2465,41,139
419,1008,50,129,244,2465,41,139
468,1133,79,129,2685,2685,53,142
468,1133,79,129,2685,2685,53,142
433,922,96,120,122,1464,38,107
433,922,96,120,122,1464,38,107
395,939,55,112,244,2539,43,132
395,939,55,112,244,2539,43,132
479,802,269,715,244,1586,37,90
479,802,269,715,244,1586,37,90
525,1147,60,243,244,1660,46,141
525,1147,60,243,244,1660,46,141
488,1002,79,283,244,2539,44,135
488,1002,79,283,244,2539,44,135
420,914,55,111,244,2636,50,130
420,914,55,111,244,2636,50,130
405,896,195,255,244,1708,40,101
405,896,195,255,244,1708,40,101
430,938,57,128,244,1708,40,115
430,938,57,128,244,1708,40,115
394,1208,63,148,2685,2563,55,171
394,1208,63,148,2685,2563,55,171
325,960,220,719,122,1660,36,118
325,960,220,719,122,1660,36,118
362,752,50,165,122,2685,39,100
362,752,50,165,122,2685,39,100
386,845,69,126,244,1635,38,105
386,845,69,126,244,1635,38,105
506,993,59,143,244,2685,53,135
506,993,59,143,244,2685,53,135
479,1069,100,185,244,1489,38,115
479,1069,100,185,244,1489,38,115
392,718,49,119,244,1635,30,77
392,718,49,119,244,1635,30,77
452,1245,53,119,244,2636,64,185
452,1245,53,119,244,2636,64,185
452,1096,83,232,292,2441,47,137
452,1096,83,232,292,2441,47,137
311,790,53,180,244,1611,39,103
311,790,53,180,244,1611,39,103
650,1703,85,131,244,2563,77,234
537,1352,193,683,244,2465,39,170
537,1352,193,683,244,2465,39,170
489,889,97,270,244,2685,52,120
489,889,97,270,244,2685,52,120
381,822,63,152,122,2465,35,97
381,822,63,152,122,2465,35,97
349,760,49,137,122,2661,42,100
349,760,49,137,122,2661,42,100
385,979,74,231,244,2465,42,131
385,979,74,231,244,2465,42,131
482,790,49,159,244,2563,46,105
482,790,49,159,244,2563,46,105
323,701,52,163,244,2490,31,93
323,701,52,163,244,2490,31,93
464,1116,61,134,244,2636,60,164
464,1116,61,134,244,2636,60,164
479,1433,266,554,317,1586,50,159
479,1433,266,554,317,1586,50,159
493,1023,130,338,122,1611,39,110
493,1023,130,338,122,1611,39,110
391,1176,129,186,2661,2539,54,170
391,1176,129,186,2661,2539,54,170
426,900,361,508,122,2490,39,115
426,900,361,508,122,2490,39,115
289,770,45,137,122,1611,35,90
289,770,45,137,122,1611,35,90
466,1274,92,334,2636,2636,72,199
466,1274,92,334,2636,2636,72,199
334,733,153,324,195,2661,40,97
334,733,153,324,195,2661,40,97
316,709,136,566,244,1562,34,83
316,709,136,566,244,1562,34,83
347,767,48,115,244,1562,32,83
347,767,48,115,244,1562,32,83
350,776,54,134,244,2514,42,103
350,776,54,134,244,2514,42,103
377,767,67,169,244,1635,30,85
377,767,67,169,244,1635,30,85
414,1004,86,214,244,2465,45,136
414,1004,86,214,244,2465,45,136
544,1174,127,187,244,2587,51,155
544,1174,127,187,244,2587,51,155
313,744,59,120,244,2685,35,95
495,1091,122,537,244,1684,45,130
495,1091,122,537,244,1684,45,130
660,1487,75,209,244,1586,60,186
660,1487,75,209,244,1586,60,186
300,608,52,114,317,2514,32,79
300,608,52,114,317,2514,32,79
520,1213,43,122,244,2465,44,153
520,1213,43,122,244,2465,44,153
