Z 轴振动速度,X 轴振动速度,Z 轴加速度峰值,X 轴加速度峰值,Z 轴峰值速度分量频率 Hz,X 轴峰值速度分量频率 Hz,Z 轴加速度均方根,X 轴加速度均方根
502,1149,976,1524,170,97,38,124,
390,817,863,1452,122,122,32,88,
518,1744,930,1957,146,122,38,93,
311,762,1081,2209,97,146,34,80,
663,2815,30,28,122,97,9,27,
1555,1522,1328,2193,97,122,41,96,
820,1776,942,1712,122,122,34,84,
497,841,1006,1610,122,122,31,73,
133,294,29,31,146,170,7,7,
464,1215,1100,2027,97,97,37,97,
431,1115,1067,2068,97,97,33,81,
508,1179,1164,1776,122,97,32,77,
126,246,27,36,341,146,6,7,
874,1674,1209,2071,122,122,41,100,
785,1615,1094,2020,122,122,39,99,
908,1568,1126,1827,122,122,35,98,
715,1449,1162,1710,122,97,37,80,
118,140,32,28,122,97,6,7,
1795,2150,1174,2282,97,122,44,95,
1795,2150,1174,2282,97,122,44,95,
736,1188,1129,1874,97,170,40,110,
337,1024,1068,1728,122,122,33,99,
563,1061,1217,1783,122,122,34,79,
130,202,29,31,97,170,6,7,
130,202,29,31,97,170,6,7,
593,1833,1172,2186,97,170,38,113,
576,1238,1107,1485,122,122,34,100,
783,1510,1141,1944,122,122,38,97,
169,153,27,33,97,219,6,7,
169,153,27,33,97,219,6,7,
9688,1948,1020,2007,97,195,126,224,
477,878,1034,1804,122,122,36,93,
