Z 轴振动速度,X 轴振动速度,Z 轴加速度峰值,X 轴加速度峰值,Z 轴峰值速度分量频率 Hz,X 轴峰值速度分量频率 Hz,Z 轴加速度均方根,X 轴加速度均方根
147,330,27,32,122,97,7,7,
236,918,251,273,122,122,8,14,
7019,17333,943,1807,97,708,324,729,
5072,11350,1103,2431,146,146,231,298,
3784,9363,1213,1852,244,146,227,301,
162,411,28,31,97,97,6,8,
9042,20514,1141,1533,170,122,270,369,
6385,9591,981,1674,219,146,120,199,
4188,13443,1392,2071,585,219,242,570,
1924,7487,1044,1866,122,170,77,223,
136,699,29,29,97,122,6,8,
6815,48697,1108,1740,122,97,151,591,
8594,30698,1190,1595,195,97,233,757,
8288,38556,1094,1922,268,97,271,939,
8288,38556,1094,1922,268,97,271,939,
110,164,28,34,366,97,6,7,
2957,21792,985,1583,268,122,102,527,
2957,21792,985,1583,268,122,102,527,
8089,47967,1099,1629,244,97,183,781,
5565,21459,1100,1588,170,170,132,399,
176,125,27,28,97,170,6,7,
8246,61916,1094,1764,268,97,224,1148,
7687,23944,1309,2049,195,195,233,674,
8334,35855,1044,1785,268,97,244,816,
1301,1254,1060,2005,122,97,52,128,
4645,23755,1034,1691,170,97,136,404,
5455,25358,1066,1707,268,97,152,430,
137,510,30,30,146,170,6,9,
16632,7179,1085,2030,97,97,209,356,
16632,7179,1085,2030,97,97,209,356,
8454,45793,960,1673,537,170,302,1127,
6945,28246,1264,1689,561,97,218,697,
